country,y1,x1,x2
australia,3.871325502,4.9,54.763
austria,15.65853828,8.1,49.701
belgium,8.643572769,5.6,46.198
brazil,0,1.2,8.755
canada,4.17386626,4,46.55
china,0.021249789,0.1,10.004
denmark,22.24752355,4.9,60.657
finland,7.260276558,5.4,48.678
france,9.046821006,4.3,40.319
germany,9.98135639,7.9,46.232
greece,1.865921418,2.5,19.604
ireland,12.05448628,7.9,81.637
italy,2.535105679,4,33.09
japan,1.980565613,1.2,40.063
netherlands,9.650766575,5.1,53.053
norway,20.37488303,5.8,74.986
poland,1.833324603,5.7,15.727
portugal,1.94207716,2,23.35
spain,1.265977079,4,29.816
sweden,30.76310773,6.6,52.896
switzerland,28.79889044,8.8,85.135
unitedkingdom,18.7831965,7.6,41.855
unitedstates,11.44517395,4.4,65.134
