y0t,y1t,y0,y1,y3,x1,t1
41,148,41,NA,41,74,0
48,151,48,NA,48,78,0
54,165,NA,165,165,96,1
57,152,57,NA,57,81,0
50,175,NA,175,175,81,1
54,176,54,NA,54,97,0
38,168,38,NA,38,85,0
36,139,36,NA,36,67,0
58,152,58,NA,58,73,0
42,151,42,NA,42,76,0
49,180,49,NA,49,92,0
55,157,55,NA,55,84,0
53,149,53,NA,53,84,0
54,163,NA,163,163,81,1
42,147,NA,147,147,74,1
67,188,NA,188,188,98,1
43,163,43,NA,43,85,0
36,142,36,NA,36,60,0
47,167,47,NA,47,87,0
50,148,50,NA,50,75,0
42,148,NA,148,148,69,1
55,150,55,NA,55,78,0
56,156,NA,156,156,70,1
45,149,45,NA,45,73,0
41,135,41,NA,41,74,0
32,132,32,NA,32,63,0
51,154,51,NA,51,88,0
49,143,49,NA,49,82,0
55,143,55,NA,55,69,0
48,176,48,NA,48,93,0
43,155,43,NA,43,84,0
43,143,43,NA,43,77,0
58,163,NA,163,163,89,1
59,156,NA,156,156,89,1
46,171,46,NA,46,88,0
53,168,NA,168,168,87,1
51,152,NA,152,152,86,1
56,150,NA,150,150,79,1
54,160,NA,160,160,77,1
43,150,43,NA,43,76,0
44,148,44,NA,44,73,0
51,157,51,NA,51,78,0
29,145,29,NA,29,67,0
59,191,NA,191,191,102,1
59,176,NA,176,176,92,1
38,133,NA,133,133,69,1
45,149,NA,149,149,76,1
45,152,45,NA,45,75,0
48,165,NA,165,165,88,1
40,140,40,NA,40,79,0
48,154,48,NA,48,83,0
46,163,46,NA,46,80,0
54,157,NA,157,157,80,1
67,162,NA,162,162,94,1
47,155,NA,155,155,78,1
60,173,60,NA,60,95,0
39,143,39,NA,39,65,0
56,178,56,NA,56,86,0
50,147,50,NA,50,81,0
51,155,51,NA,51,82,0
58,160,58,NA,58,84,0
38,135,NA,135,135,75,1
56,152,56,NA,56,77,0
44,140,NA,140,140,70,1
43,158,43,NA,43,69,0
46,139,46,NA,46,83,0
49,171,NA,171,171,84,1
51,164,51,NA,51,81,0
39,172,39,NA,39,89,0
56,182,NA,182,182,101,1
49,145,49,NA,49,75,0
32,136,NA,136,136,57,1
48,162,NA,162,162,90,1
39,152,39,NA,39,73,0
45,150,45,NA,45,73,0
43,176,43,NA,43,90,0
52,148,52,NA,52,77,0
26,138,26,NA,26,68,0
46,161,46,NA,46,82,0
42,157,42,NA,42,79,0
39,166,39,NA,39,80,0
43,164,NA,164,164,84,1
47,152,47,NA,47,76,0
51,169,NA,169,169,86,1
45,150,45,NA,45,78,0
34,167,NA,167,167,83,1
45,162,45,NA,45,91,0
49,163,NA,163,163,84,1
40,140,40,NA,40,77,0
49,171,NA,171,171,91,1
61,157,61,NA,61,90,0
52,160,52,NA,52,85,0
42,146,NA,146,146,82,1
41,144,41,NA,41,74,0
54,167,54,NA,54,94,0
40,153,40,NA,40,74,0
54,178,NA,178,178,102,1
57,169,NA,169,169,95,1
52,162,52,NA,52,78,0
44,156,44,NA,44,70,0
42,155,42,NA,42,73,0
53,149,53,NA,53,83,0
52,163,52,NA,52,78,0
45,144,NA,144,144,77,1
45,143,45,NA,45,70,0
40,161,40,NA,40,80,0
41,145,41,NA,41,72,0
35,135,35,NA,35,63,0
47,152,NA,152,152,76,1
56,170,NA,170,170,89,1
44,152,44,NA,44,74,0
46,151,NA,151,151,86,1
32,136,32,NA,32,64,0
49,157,49,NA,49,79,0
60,166,NA,166,166,85,1
44,157,44,NA,44,83,0
46,152,NA,152,152,81,1
47,139,47,NA,47,74,0
39,141,39,NA,39,72,0
43,143,NA,143,143,70,1
48,153,NA,153,153,81,1
37,149,37,NA,37,71,0
51,153,51,NA,51,75,0
52,141,52,NA,52,77,0
66,180,66,NA,66,98,0
53,151,53,NA,53,73,0
46,157,46,NA,46,82,0
45,157,NA,157,157,81,1
44,141,44,NA,44,70,0
52,153,NA,153,153,79,1
54,166,NA,166,166,94,1
48,165,48,NA,48,85,0
44,147,44,NA,44,80,0
56,147,56,NA,56,76,0
18,124,18,NA,18,59,0
53,163,NA,163,163,91,1
39,135,39,NA,39,65,0
45,161,NA,161,161,87,1
62,174,62,NA,62,99,0
26,137,26,NA,26,66,0
59,153,59,NA,59,87,0
35,153,35,NA,35,77,0
23,141,23,NA,23,64,0
34,129,34,NA,34,65,0
40,127,40,NA,40,64,0
40,166,40,NA,40,75,0
