y0t,y1t,t1,y,x1,x2,x3,ps1
63,74,0,63,66,76,75,0.12
55,70,0,55,70,75,55,0.05
59,69,0,59,70,60,73,0.19
71,77,1,77,73,76,82,0.43
73,78,0,73,73,79,78,0.35
66,77,0,66,74,72,79,0.41
69,79,0,69,75,78,73,0.34
70,81,1,81,77,75,83,0.62
62,77,1,77,77,66,77,0.5
72,81,0,72,78,76,74,0.48
65,79,0,65,78,79,64,0.28
68,81,1,81,78,83,79,0.57
69,73,1,73,79,74,60,0.26
79,93,1,93,83,89,88,0.86
75,85,1,85,84,81,90,0.9
80,91,1,91,87,82,86,0.91
75,89,0,75,88,78,82,0.9
82,85,1,85,91,84,85,0.95
91,97,1,97,92,102,101,0.99
74,81,1,81,92,77,73,0.9
