y0t,y1t,y3,t1,x1
114.43,129.11,114.43,0,128.98
197.06,129.25,129.25,1,184.61
114.29,109.95,114.29,0,118.61
151.82,114.62,114.62,1,151.75
194.04,125.55,125.55,1,192.79
130.83,100.18,100.18,1,134.93
143.83,122.8,122.8,1,138.2
150.19,124.68,124.68,1,134.12
132.84,126.77,126.77,1,142.86
158.54,125.45,125.45,1,153.45
184.23,119.69,119.69,1,180.69
131.93,136.8,131.93,0,129.96
133.23,127.28,133.23,0,122.99
136.52,118.1,118.1,1,146.06
127.9,101.6,127.9,0,123.21
145.69,131.34,131.34,1,146.53
123.77,118.79,118.79,1,135.07
93.1,102.39,93.1,0,95.4
155.69,122,122,1,156.02
133.49,124.22,124.22,1,143.52
173.23,123.58,123.58,1,172.51
189.42,112.87,112.87,1,173.55
190.98,129.4,129.4,1,186.7
170.75,125.67,125.67,1,167.67
171.7,116.64,116.64,1,170.48
129.49,139.36,139.36,1,142.66
176.36,143.58,143.58,1,185.46
181.99,137.02,137.02,1,187.47
125.71,135.43,135.43,1,133.57
132.3,122.04,132.3,0,128.68
154.71,130.21,130.21,1,157.9
182.27,139.79,139.79,1,177.74
207.26,154.78,154.78,1,205.39
188.56,121.01,121.01,1,180.43
175.49,141.73,141.73,1,186.98
163.77,132.7,132.7,1,173.79
137.46,108.53,137.46,0,124.76
102.24,98.25,102.24,0,99.99
91.66,99.25,91.66,0,105.95
140.06,120.71,120.71,1,146.43
188.99,133.31,133.31,1,188.75
146.34,117.48,146.34,0,129.94
173.51,123.46,123.46,1,148.14
197.7,140.93,140.93,1,197.39
140.22,120.39,120.39,1,138.59
157.09,127.54,127.54,1,164.06
146.44,103.2,146.44,0,127.82
142.44,119.18,119.18,1,138.49
123.58,122.75,122.75,1,131.89
132.5,113.66,113.66,1,148.27
191.68,133.82,133.82,1,186.58
140.23,124.54,124.54,1,154.69
164.06,138.2,138.2,1,175.55
120.68,116.63,116.63,1,135.2
143.03,119.59,119.59,1,147.19
144.17,124.64,144.17,0,126.88
163.46,124.05,124.05,1,168.83
157.91,117.14,117.14,1,147.18
144.12,95.97,95.97,1,148.4
165.91,134.42,134.42,1,155.83
111.08,107.85,111.08,0,121.59
175.53,145.36,145.36,1,171.37
143.49,139.18,139.18,1,135.54
177.09,141.9,141.9,1,162.41
132.57,99.61,99.61,1,131
141.41,130.51,130.51,1,141.47
102.62,126.27,102.62,0,97.44
134.34,110.38,110.38,1,142.46
123.37,119.04,123.37,0,118.19
137.63,109.73,109.73,1,143.01
152,107.61,107.61,1,144.9
165.75,111.85,111.85,1,144.36
165.74,103.87,103.87,1,158.68
174.84,132.63,132.63,1,150.81
155.75,141.66,141.66,1,160.34
143.35,121.74,121.74,1,146.12
165.22,131.7,131.7,1,174.34
150.5,105.09,105.09,1,153.03
141.28,127.98,127.98,1,154.73
128.35,110.73,110.73,1,135.93
161.86,127.64,127.64,1,162.46
107.37,98.03,107.37,0,106.44
170.3,118.43,118.43,1,174.39
150.04,120.58,120.58,1,149.4
158.79,142.06,142.06,1,166.89
131.38,125.74,125.74,1,132.24
212.32,146.36,146.36,1,209.68
125.08,128.02,128.02,1,138.16
158.97,117.63,117.63,1,148.11
147.2,107.67,107.67,1,136.95
167.07,130.92,130.92,1,173.15
124.31,111.06,124.31,0,123.44
178.69,123.76,123.76,1,163.93
195.93,140.72,140.72,1,172.52
154.67,111.59,111.59,1,174.75
153.36,122.1,122.1,1,159.59
145.89,106.2,106.2,1,141.34
132.58,111.58,111.58,1,136.5
145.56,134.23,134.23,1,145.44
146.29,115.01,115.01,1,148.52
88.24,93.22,88.24,0,100.12
177.25,124.98,124.98,1,178.38
161.21,134.6,134.6,1,166.89
128.45,119.52,119.52,1,155.21
146.62,107.35,107.35,1,148.55
179.23,141.6,141.6,1,172.35
160.32,127.95,127.95,1,144.28
112.93,99.14,112.93,0,100.86
138.57,135.75,135.75,1,131.16
184.41,145.67,145.67,1,182
136.71,108.16,136.71,0,126.18
208.48,174.08,174.08,1,190.56
228.81,158.36,158.36,1,215
160.04,124.41,124.41,1,153.49
135.19,108.99,135.19,0,116.23
172.57,135.7,135.7,1,169.97
99.86,107.86,99.86,0,111.13
150.54,115.99,115.99,1,161.59
145.1,116.12,116.12,1,151.31
129.65,118.66,118.66,1,144.95
190.16,128.24,128.24,1,179.27
170.59,132.81,132.81,1,172.12
119.67,134.99,119.67,0,117.05
117.08,104.46,117.08,0,108.92
153.82,133.94,133.94,1,176.48
146.84,114.59,114.59,1,157.25
130.58,116.11,116.11,1,140
192.21,117.82,117.82,1,181.08
122.07,115.85,122.07,0,115.84
134.08,109.02,134.08,0,113.96
165.19,113.9,113.9,1,183.71
102.33,94.38,102.33,0,100.54
115.63,93.38,115.63,0,118.98
149.15,123.03,123.03,1,147.4
165.3,140.69,140.69,1,168.32
165.4,151.2,151.2,1,161.39
155.18,101.5,101.5,1,157.2
116.66,115.78,116.66,0,123.16
165.9,126.02,126.02,1,166.22
170.01,118.14,118.14,1,157.48
139.14,106.83,106.83,1,130.1
142.44,117.34,117.34,1,149.27
189.09,144.98,144.98,1,204.51
179.64,141.74,141.74,1,173.94
130.49,119.39,119.39,1,142.37
135.68,115.95,115.95,1,139.54
139.25,114.36,114.36,1,152.5
141.24,120.6,120.6,1,144.25
112.06,107.95,112.06,0,114.62
130.86,114.5,114.5,1,140.19
184.75,130.37,130.37,1,173.65
161.1,133.84,133.84,1,168.79
142.18,117,117,1,137.07
190.36,147.55,147.55,1,170.21
155.02,103.9,103.9,1,134.64
191.33,144.38,144.38,1,180.96
142.68,120.69,120.69,1,141.55
183.89,148.73,148.73,1,179.91
139.36,101.87,101.87,1,138.92
146.73,127.44,127.44,1,154.65
79.16,88.1,79.16,0,84.47
221.17,132.24,132.24,1,206.16
157.61,130.13,130.13,1,152.34
193.33,138.78,138.78,1,190.68
156.3,114.37,114.37,1,137.23
140.49,126.39,126.39,1,133.52
145.92,126.02,126.02,1,149
142.35,123.1,123.1,1,147.03
151.4,128.86,128.86,1,149.51
144.19,117.32,117.32,1,137.86
104.21,116.45,104.21,0,114
129.1,128.49,128.49,1,153.59
119.96,107.56,119.96,0,119.14
