x1,x2
58,58
55,55
67,67
37,37
72,72
54,64
34,34
41,41
51,51
50,50
27,27
58,68
45,45
52,52
56,56
65,65
57,67
61,61
42,42
46,46
54,54
50,50
40,40
37,37
48,48
57,67
53,53
39,39
43,43
43,43
32,32
46,46
50,50
59,69
66,66
51,61
68,68
51,51
64,64
65,65
51,51
35,35
50,50
48,48
71,71
52,52
55,55
67,67
54,64
37,37
44,44
68,68
48,48
46,46
56,56
60,60
50,50
41,41
59,59
62,62
45,45
59,59
29,29
33,33
68,68
58,58
45,45
69,69
46,46
34,34
52,52
39,39
55,65
32,32
55,55
51,51
52,52
58,58
43,43
53,53
61,61
54,64
47,47
48,48
51,51
41,41
46,46
39,39
42,42
63,63
47,47
56,66
53,53
51,51
61,61
44,44
65,65
49,49
50,50
29,29
42,42
21,21
50,50
46,46
50,50
55,55
43,43
60,60
61,61
58,58
35,35
59,59
31,31
47,47
47,47
52,52
36,36
49,49
45,45
51,51
47,47
44,44
51,51
54,54
50,50
62,62
41,41
41,41
45,45
63,63
54,54
65,65
47,47
63,63
53,53
67,67
38,38
50,50
34,34
39,39
59,69
43,43
40,40
60,60
43,43
34,34
57,57
40,40
47,47
57,57
56,56
43,43
37,37
51,51
56,56
56,66
60,60
42,42
54,64
38,38
52,52
50,50
48,48
35,35
46,46
56,56
68,68
58,58
32,32
47,47
62,62
35,35
45,45
29,29
43,43
46,46
48,48
54,64
55,55
33,33
51,61
45,45
49,49
46,46
44,44
51,51
51,51
52,62
50,50
56,66
56,66
57,67
38,38
47,47
50,50
63,63
46,46
62,62
54,64
66,66
57,57
36,36
56,56
51,61
48,48
51,51
48,48
59,59
47,47
48,48
60,60
51,51
76,76
46,46
52,52
39,39
48,48
52,52
48,48
49,49
53,53
50,50
52,62
33,33
55,55
71,71
39,39
41,41
55,55
28,28
55,55
50,50
56,56
56,56
57,57
46,46
64,64
47,47
60,60
58,58
32,32
40,40
57,57
52,52
58,58
46,46
52,62
41,41
51,51
39,39
40,40
53,53
66,66
65,65
52,52
42,42
51,51
66,66
38,38
69,69
48,48
54,64
59,69
55,65
51,51
41,41
49,49
57,57
56,56
60,60
53,53
51,51
43,43
49,49
58,58
28,28
39,39
34,34
55,55
58,58
37,37
52,62
66,66
47,47
56,56
45,45
43,43
50,50
46,46
49,49
49,49
25,25
28,28
63,63
38,38
61,61
40,40
62,62
54,54
64,64
38,38
38,38
55,55
47,47
47,47
50,50
60,60
61,61
35,35
53,53
62,62
73,73
56,66
70,70
60,60
52,62
36,36
47,47
53,53
53,53
55,65
57,57
28,28
44,44
27,27
45,45
64,64
44,44
69,69
40,40
56,56
41,41
54,64
34,34
53,53
58,58
21,21
47,47
48,48
52,62
53,53
24,24
58,58
61,61
56,56
46,46
57,57
40,40
54,54
48,48
53,53
54,54
38,38
58,68
39,39
49,49
43,43
68,68
45,45
41,41
54,64
51,51
60,60
44,44
57,67
37,37
31,31
36,36
80,80
41,41
57,57
63,63
47,47
54,54
44,44
56,56
54,54
52,52
54,64
59,59
51,51
59,69
51,51
68,68
50,50
33,33
56,66
47,47
50,50
69,69
47,47
37,37
57,57
46,46
40,40
38,38
54,64
46,46
49,49
58,68
40,40
52,52
65,65
53,53
72,72
48,48
60,60
60,60
56,66
50,50
57,67
51,61
66,66
49,49
48,48
41,41
44,44
59,59
39,39
49,49
64,64
30,30
55,55
53,53
56,56
45,45
63,63
55,65
52,52
54,54
36,36
48,48
41,41
42,42
45,45
47,47
53,53
51,51
37,37
64,64
54,64
55,65
50,50
71,71
58,58
63,63
52,52
70,70
58,68
40,40
70,70
70,70
43,43
79,79
46,46
58,68
56,66
53,53
49,49
44,44
59,59
43,43
56,66
50,50
57,57
62,62
43,43
49,49
67,67
72,72
54,54
51,51
48,48
55,55
55,55
65,65
57,57
58,58
42,42
46,46
42,42
30,30
56,56
49,49
65,65
55,55
48,48
53,53
69,69
47,47
55,65
28,28
70,70
70,70
63,63
46,46
53,53
61,61
49,49
52,62
66,66
46,46
38,38
52,52
60,60
41,41
59,59
59,59
46,46
48,48
48,48
35,35
48,48
64,64
60,60
51,61
57,57
51,51
40,40
19,19
40,40
53,63
50,50
65,65
50,50
59,59
50,50
43,43
49,49
58,58
47,47
53,53
24,24
51,61
42,42
52,52
43,43
54,54
45,45
50,50
44,44
36,36
35,35
57,67
53,63
51,51
47,47
56,56
41,41
62,62
38,38
48,48
58,68
50,50
46,46
75,75
71,71
47,47
47,47
61,61
61,61
46,46
38,38
42,42
42,42
45,45
47,47
45,45
61,61
58,58
42,42
67,67
38,38
48,48
48,48
53,53
15,15
49,49
53,63
48,48
55,55
72,72
35,35
51,51
64,64
53,53
55,55
49,49
64,64
54,54
68,68
55,65
60,60
64,64
53,53
44,44
53,53
44,44
47,47
49,49
50,50
71,71
46,46
58,58
66,66
47,47
62,62
54,64
47,47
49,49
47,47
50,50
29,29
48,48
33,33
39,39
53,63
44,44
50,50
52,62
47,47
37,37
40,40
44,44
45,45
48,48
38,38
40,40
44,44
58,58
42,42
48,48
50,50
40,40
46,46
63,63
73,73
47,47
47,47
46,46
67,67
47,47
50,50
38,38
56,66
46,46
63,63
62,62
54,54
42,42
61,61
53,63
47,47
50,50
46,46
73,73
57,57
57,57
47,47
59,59
43,43
50,50
34,34
62,62
45,45
48,48
49,49
60,60
45,45
59,69
42,42
60,60
44,44
40,40
56,66
49,49
40,40
54,54
66,66
68,68
42,42
58,58
60,60
36,36
58,58
36,36
44,44
53,53
58,58
58,58
53,53
50,50
50,50
57,57
40,40
30,30
53,53
53,63
41,41
38,38
52,52
54,54
46,46
45,45
44,44
61,61
61,61
36,36
68,68
64,64
52,62
44,44
52,52
53,53
57,57
71,71
63,63
50,50
44,44
49,49
46,46
34,34
67,67
39,39
49,49
56,56
62,62
62,62
51,61
49,49
41,41
28,28
44,44
39,39
44,44
60,60
53,53
46,46
47,47
49,49
62,62
41,41
62,62
41,41
42,42
45,45
44,44
49,49
57,57
57,57
38,38
33,33
39,39
58,58
46,46
59,59
66,66
69,69
63,63
50,50
61,61
52,62
69,69
48,48
51,51
37,37
52,52
47,47
39,39
37,37
47,47
49,49
52,52
54,64
42,42
63,63
65,65
47,47
68,68
56,56
57,57
33,33
40,40
63,63
38,38
43,43
41,41
66,66
38,38
56,56
51,61
49,49
48,48
46,46
45,45
35,35
46,46
55,55
64,64
59,59
37,37
71,71
46,46
61,61
75,75
63,63
61,61
62,62
44,44
60,60
57,57
29,29
60,60
63,63
53,53
69,69
46,46
50,50
67,67
60,60
48,48
60,60
52,52
49,49
47,47
46,46
49,49
44,44
69,69
42,42
65,65
51,61
48,48
51,51
56,66
49,49
54,54
43,43
41,41
29,29
51,61
56,66
36,36
55,55
55,65
56,56
65,65
67,67
51,51
55,65
28,28
45,45
61,61
56,56
58,68
37,37
64,64
54,54
49,49
43,43
53,53
40,40
42,42
42,42
34,34
54,54
65,65
39,39
62,62
50,50
49,49
58,68
76,76
56,56
71,71
57,57
62,62
56,66
42,42
79,79
45,45
50,50
52,52
68,68
51,51
54,54
43,43
49,49
33,33
48,48
55,55
80,80
62,62
61,61
39,39
63,63
44,44
66,66
50,50
51,51
50,50
56,56
53,53
56,66
32,32
40,40
40,40
57,57
47,47
51,61
73,73
73,73
60,60
59,59
57,67
66,66
58,58
45,45
81,81
58,58
40,40
57,57
49,49
46,46
42,42
27,27
43,43
38,38
46,46
58,58
48,48
46,46
40,40
42,42
38,38
46,46
47,47
60,60
66,66
42,42
62,62
54,54
49,49
50,50
53,53
52,52
66,66
47,47
44,44
45,45
45,45
70,70
39,39
56,56
62,62
44,44
68,68
58,58
57,57
64,64
49,49
48,48
53,53
36,36
46,46
67,67
43,43
55,55
53,53
40,40
37,37
38,38
58,58
62,62
49,49
57,57
39,39
34,34
46,46
55,55
65,65
42,42
47,47
30,30
37,37
45,45
36,36
56,56
61,61
47,47
48,48
36,36
47,47
51,61
51,51
50,50
43,43
44,44
65,65
54,54
51,61
50,50
59,59
67,67
58,58
47,47
36,36
35,35
63,63
45,45
66,66
47,47
47,47
53,63
51,51
35,35
38,38
54,64
54,64
52,52
49,49
60,60
56,56
51,61
67,67
63,63
48,48
54,54
36,36
72,72
54,54
61,61
44,44
56,56
57,57
37,37
61,61
44,44
47,47
36,36
48,48
50,50
34,34
57,57
56,66
42,42
63,63
66,66
46,46
55,55
60,60
54,54
49,49
44,44
59,59
60,60
64,64
40,40
65,65
39,39
41,41
63,63
19,19
50,50
39,39
41,41
53,63
52,52
69,69
56,56
57,57
63,63
67,67
37,37
47,47
52,52
48,48
40,40
45,45
61,61
41,41
32,32
59,59
57,67
60,60
65,65
52,52
17,17
60,60
57,57
66,66
36,36
36,36
56,66
51,51
48,48
51,61
50,50
48,48
43,43
47,47
32,32
54,54
48,48
50,50
49,49
33,33
54,64
24,24
73,73
63,63
50,50
60,60
62,62
53,53
47,47
31,31
45,45
55,55
60,60
49,49
46,46
38,38
45,45
50,50
45,45
35,35
48,48
52,62
39,39
50,50
50,50
41,41
47,47
41,41
45,45
20,20
52,52
53,53
58,58
35,35
56,56
60,60
26,26
54,54
52,62
57,57
58,68
52,62
61,61
55,55
47,47
42,42
48,48
43,43
54,54
47,47
63,63
58,68
55,55
68,68
35,35
35,35
51,51
54,54
45,45
43,43
59,69
53,53
32,32
57,67
55,55
46,46
36,36
34,34
53,53
60,60
59,59
44,44
47,47
40,40
54,54
45,45
39,39
38,38
41,41
60,60
41,41
54,64
44,44
50,50
55,65
43,43
55,65
40,40
51,51
48,48
54,54
53,63
46,46
36,36
49,49
43,43
30,30
51,51
57,57
58,58
56,56
61,61
56,66
46,46
41,41
61,61
46,46
52,52
60,60
46,46
35,35
47,47
56,66
54,54
45,45
44,44
55,55
43,43
60,60
63,63
54,54
52,52
56,66
39,39
30,30
46,46
49,49
36,36
32,32
30,30
62,62
55,55
58,68
58,58
47,47
50,50
59,69
63,63
62,62
55,55
81,81
42,42
49,49
50,50
55,65
32,32
62,62
34,34
38,38
55,55
65,65
49,49
51,61
67,67
40,40
58,68
47,47
54,54
55,55
32,32
39,39
71,71
52,62
61,61
55,55
36,36
50,50
39,39
37,37
54,54
45,45
64,64
38,38
47,47
54,54
63,63
69,69
67,67
47,47
58,58
34,34
29,29
62,62
43,43
50,50
40,40
54,54
56,56
43,43
55,55
59,69
48,48
46,46
61,61
57,67
47,47
48,48
38,38
62,62
53,63
52,52
42,42
44,44
43,43
58,58
55,65
48,48
40,40
65,65
48,48
49,49
59,59
65,65
58,58
43,43
47,47
31,31
52,52
48,48
66,66
35,35
41,41
64,64
55,55
58,58
70,70
63,63
54,54
64,64
45,45
41,41
56,56
50,50
36,36
58,58
47,47
47,47
45,45
60,60
48,48
58,58
51,61
51,51
44,44
52,52
41,41
43,43
60,60
55,55
48,48
59,59
49,49
52,52
35,35
40,40
53,63
41,41
30,30
43,43
48,48
34,34
44,44
54,54
52,52
55,65
50,50
47,47
47,47
48,48
67,67
56,56
47,47
30,30
56,56
60,60
62,62
33,33
55,65
50,50
46,46
55,65
55,55
45,45
50,50
54,54
52,62
42,42
61,61
55,65
59,69
53,63
60,60
70,70
56,56
41,41
49,49
52,62
62,62
40,40
50,50
51,51
27,27
43,43
39,39
39,39
34,34
55,55
34,34
31,31
63,63
58,68
51,51
58,58
57,57
39,39
41,41
42,42
45,45
55,55
42,42
42,42
43,43
40,40
53,63
56,66
52,52
63,63
52,62
50,50
35,35
68,68
43,43
46,46
54,54
46,46
50,50
48,48
67,67
76,76
64,64
48,48
80,80
53,53
45,45
36,36
43,43
51,51
54,54
44,44
56,56
51,51
68,68
58,58
60,60
49,49
61,61
42,42
48,48
76,76
54,54
47,47
42,42
55,55
40,40
42,42
76,76
33,33
58,58
61,61
47,47
58,68
48,48
53,53
52,52
30,30
50,50
55,55
39,39
57,57
62,62
49,49
56,56
63,63
45,45
41,41
49,49
52,52
66,66
53,53
42,42
49,49
44,44
36,36
50,50
76,76
50,50
55,55
49,49
56,66
37,37
48,48
50,50
52,62
64,64
65,65
40,40
43,43
49,49
66,66
38,38
34,34
58,58
44,44
61,61
47,47
44,44
56,56
49,49
54,64
57,57
41,41
49,49
48,48
64,64
39,39
71,71
52,52
64,64
36,36
49,49
60,60
41,41
56,66
60,60
47,47
46,46
54,64
57,57
50,50
73,73
63,63
50,50
56,56
62,62
49,49
57,67
47,47
44,44
49,49
56,66
40,40
57,57
57,67
53,53
36,36
54,64
58,58
62,62
55,55
62,62
56,56
47,47
45,45
40,40
48,48
58,58
45,45
39,39
49,49
39,39
39,39
58,58
59,69
34,34
60,60
60,60
57,57
59,59
51,51
57,67
36,36
57,57
44,44
57,57
65,65
57,67
62,62
46,46
58,58
63,63
43,43
48,48
56,56
65,65
55,65
44,44
51,61
41,41
54,54
46,46
56,56
51,51
41,41
48,48
54,54
61,61
46,46
50,50
56,66
64,64
54,64
56,56
43,43
63,63
59,59
50,50
53,53
59,69
48,48
55,55
57,57
47,47
27,27
45,45
57,57
59,59
56,56
58,58
44,44
46,46
59,69
38,38
42,42
70,70
39,39
59,59
30,30
41,41
42,42
67,67
41,41
50,50
72,72
49,49
39,39
44,44
60,60
47,47
28,28
40,40
46,46
60,60
34,34
28,28
24,24
53,63
29,29
48,48
53,53
34,34
32,32
56,56
42,42
56,66
35,35
62,62
47,47
55,55
49,49
48,48
50,50
48,48
46,46
46,46
58,58
48,48
46,46
59,59
41,41
31,31
48,48
33,33
53,63
50,50
54,64
66,66
60,60
35,35
54,54
73,73
34,34
43,43
63,63
65,65
45,45
55,55
44,44
45,45
49,49
53,53
47,47
40,40
41,41
77,77
45,45
67,67
55,55
54,54
55,55
53,63
59,59
45,45
43,43
49,49
49,49
28,28
49,49
41,41
52,52
54,54
28,28
69,69
42,42
49,49
64,64
58,68
64,64
56,66
56,56
55,65
39,39
57,57
47,47
54,54
54,54
45,45
51,51
54,64
48,48
64,64
47,47
28,28
44,44
52,52
43,43
64,64
46,46
63,63
45,45
38,38
56,56
42,42
49,49
56,66
61,61
65,65
46,46
70,70
54,54
47,47
55,65
66,66
46,46
52,52
30,30
36,36
48,48
30,30
51,51
61,61
53,63
62,62
35,35
25,25
47,47
54,54
52,62
46,46
46,46
57,57
49,49
54,54
53,53
58,68
48,48
49,49
40,40
40,40
61,61
23,23
48,48
58,58
45,45
40,40
42,42
48,48
47,47
39,39
61,61
57,57
57,57
45,45
39,39
49,49
49,49
62,62
49,49
39,39
56,66
51,51
60,60
42,42
67,67
50,50
59,59
55,55
44,44
62,62
35,35
25,25
55,65
42,42
51,51
51,51
44,44
68,68
43,43
40,40
58,68
50,50
59,59
45,45
42,42
39,39
37,37
70,70
59,59
55,55
50,50
56,56
68,68
46,46
66,66
46,46
43,43
28,28
38,38
54,54
44,44
43,43
64,64
38,38
52,52
56,56
47,47
47,47
52,52
53,53
55,55
34,34
51,51
52,52
53,63
48,48
62,62
47,47
62,62
31,31
50,50
47,47
38,38
48,48
50,50
56,56
67,67
48,48
34,34
35,35
37,37
49,49
53,53
51,51
61,61
52,52
42,42
58,58
62,62
45,45
63,63
62,62
63,63
28,28
61,61
61,61
51,51
61,61
64,64
46,46
49,49
55,55
48,48
51,51
44,44
43,43
55,55
62,62
67,67
44,44
34,34
47,47
39,39
44,44
51,51
65,65
48,48
52,52
45,45
47,47
53,53
62,62
40,40
51,51
44,44
52,52
58,58
55,65
51,51
49,49
62,62
49,49
54,64
60,60
43,43
33,33
54,54
50,50
59,59
49,49
46,46
40,40
70,70
65,65
58,58
48,48
42,42
57,57
71,71
54,54
59,59
56,56
52,62
55,55
42,42
61,61
67,67
56,56
46,46
45,45
36,36
51,61
58,58
65,65
37,37
51,61
48,48
43,43
37,37
42,42
38,38
39,39
45,45
64,64
58,58
50,50
47,47
53,53
32,32
57,57
62,62
45,45
25,25
57,57
50,50
57,57
25,25
48,48
51,51
51,51
37,37
47,47
46,46
44,44
46,46
53,63
43,43
58,58
46,46
39,39
42,42
67,67
46,46
56,56
59,59
30,30
38,38
44,44
47,47
68,68
49,49
45,45
77,77
67,67
52,52
45,45
63,63
51,51
45,45
50,50
49,49
32,32
44,44
46,46
46,46
51,61
59,59
42,42
39,39
43,43
44,44
35,35
51,51
20,20
49,49
44,44
57,57
45,45
39,39
57,57
34,34
51,51
49,49
49,49
70,70
40,40
42,42
51,61
56,56
53,53
60,60
66,66
50,50
33,33
51,51
47,47
41,41
46,46
60,60
61,61
50,50
48,48
48,48
48,48
57,57
56,66
