y1,x1,z1,z2,z3,z4,z5,z6,z7,z8,z9
0,52.959282,18674,84.599998,0.53244501,26.200001,1558,9231,9229,35.299999,42.099998
0,41.671013,50263,87.900002,0.57609057,30.200001,3917,23932,24550,26.4,21
4.1084633,65.645645,25058,88.199997,0.62536579,20.200001,2187,11961,12207,33.799999,52
0,56.27055,14923,84,0.55287355,16.5,1269,6960,7194,0,30.799999
0,45.624458,25414,82.699997,0.51906377,19.200001,2108,12091,13548,16.299999,3.3
9.0440445,71.88475,13636,83.300003,0.63773525,21.6,1201,6429,6328,27.5,71.900002
4.9649968,63.271542,24637,88.300003,0.58036852,20.5,2239,11777,12237,26.1,44.700001
3.0577612,34.06308,96246,87.099998,0.52070493,31.1,6789,49481,48062,55.5,18.700001
2.7555041,42.778378,38929,81,0.5550046,23.200001,2935,17344,20340,42.099998,36.700001
12.558869,47.205925,16886,81.900002,0.49855292,20.6,1253,7947,8461,0,10.3
0,52.229008,26213,84.400002,0.52151251,18.700001,2175,12086,13657,22.1,15.9
0,62.109222,18140,85.900002,0.59256393,18.700001,1542,9037,8384,0,49.599998
10.557804,58.466175,26738,84.099998,0.55657226,24.4,2052,12568,12549,31.6,49.5
0,49.76548,12852,83.699997,0.56768483,19.4,1036,5533,6892,0,16.299999
0,52.199707,11051,78,0.47438294,16.200001,879,5348,5708,0,6.4000001
5.7636886,50.684071,30383,79.699997,0.49485555,26.299999,2301,15162,15509,51.400002,20.700001
0,35.326622,46985,86.400002,0.52898616,33.5,3467,22942,24111,57.099998,19.299999
0,62.961342,18372,92.400002,0.63231099,18.700001,1589,8412,8894,20.799999,45.400002
0,51.698772,11428,87.400002,0.57869202,21.1,855,5153,5575,0,36.200001
3.4018233,46.309258,36577,84.800003,0.54431409,21.799999,2812,16022,19802,52.799999,16.1
8.393487,64.908119,15190,83.300003,0.58416718,19.200001,1228,6796,7942,0,31.1
3.7777903,48.081337,46017,86.099998,0.54674852,17.6,3739,21990,24091,23.9,1.1
0,40.678829,31527,84,0.42179611,35.799999,2001,16636,14871,30.700001,17.6
3.4520254,58.209354,56866,85.800003,0.55873924,32.599998,4399,28618,26481,50.099998,57.700001
0,49.628716,42292,80.300003,0.53145552,17.5,3307,19313,22534,17,2
0,47.932415,30189,86.199997,0.52779704,25.200001,2396,14426,15796,22.4,33.700001
0,47.245808,33848,87.300003,0.52112675,25,2743,16756,16691,50.700001,32.700001
0,35.826748,98606,86.099998,0.53241438,28.9,7033,46646,51879,71.099998,15.4
0,52.51355,16141,82.900002,0.55310512,20.9,1314,7391,8889,26.200001,15.9
0,49.874001,22363,85,0.51924741,20.6,1795,10417,12071,30.1,5.5999999
4.7562428,53.809502,22899,78.400002,0.50171298,21.1,1883,10508,12003,17.200001,15.1
8.9581652,77.78582,13863,90.400002,0.62579781,17.4,1216,6737,6143,20.5,81.300003
0,70.75676,20524,86.300003,0.6048699,18.299999,1683,9569,8818,15.8,70.699997
7.2939458,64.056786,15859,83.5,0.58070153,19.1,1408,7441,7711,33.799999,45.599998
2.8747196,46.032688,50661,86.400002,0.56071025,29.4,3843,24724,26560,62,27.299999
4.3614793,52.100143,37443,82.199997,0.50748062,17.4,3121,18314,18688,25.5,6.0999999
1.4783195,30.840883,636496,85.5,0.5022791,36.799999,40993,301432,341992,84.599998,34.599998
0,46.945538,14507,76.400002,0.49517685,17.9,1126,6531,7903,0,14.7
6.0412922,35.300106,61690,83.400002,0.52424163,32.700001,4326,30526,31681,51.400002,11.8
6.5789475,56.771191,24916,79.599998,0.52708369,17.799999,2186,12406,11850,0,22.299999
1.766098,42.510731,50395,83.599998,0.6176995,35.900002,3483,28046,21898,64.199997,36.599998
0,49.06786,37489,80.5,0.52242029,23.9,2949,18510,17961,25.6,20.9
6.3856959,76.947334,15883,85,0.61577225,18.6,1472,7938,6332,0,80.699997
4.3256335,60.517235,27413,87.900002,0.65700483,29.5,2091,13041,13277,13.3,83.400002
2.8470075,29.391495,119011,82.699997,0.46667731,43,7429,62645,57301,63.900002,18.700001
0,63.184452,28284,84.800003,0.58973593,23.6,2215,13367,12827,36.5,62.099998
