school,math,class,enroll,pctdis,fsc
11005,74.11000061,28,54,24,27
11005,71.11000061,26,54,24,27
11006,64,22,37,38,37
11006,50,15,37,38,37
11009,68.37999725,32,32,6,32
11010,59.86000061,34,68,3,34
11010,61.90000153,34,68,3,34
11013,61.09999847,30,86,8,28.66666667
11013,59.41999817,26,86,8,28.66666667
11013,66.37000275,31,86,8,28.66666667
11015,76.56999969,32,95,6,31.66666667
11015,71.29000092,32,95,6,31.66666667
11015,81.04000092,31,95,6,31.66666667
11017,65.77999878,39,77,9,38.5
11017,68.50466919,38,77,9,38.5
11020,71.30000305,31,97,5,32.33333333
11020,77.26000214,33,97,5,32.33333333
11020,73.30000305,33,97,5,32.33333333
11021,57.86000061,30,58,11,29
11021,56.54000092,28,58,11,29
11027,71.08999634,34,97,5,32.33333333
11027,65.20999908,29,97,5,32.33333333
11027,64.48303223,34,97,5,32.33333333
11029,56.22999954,34,70,11,35
11029,57.7020607,36,70,11,35
11031,67.08999634,23,42,12,21
11031,64.41000366,19,42,12,21
11032,49.52000046,32,95,13,31.66666667
11032,59.5,31,95,13,31.66666667
11032,60.29000092,29,95,13,31.66666667
11034,64.75,28,56,11,28
11034,67.29629517,28,56,11,28
11044,55.58000183,17,11,50,11
11045,68.58000183,38,76,9,38
11045,67.46833038,38,76,9,38
11048,67.76000214,38,74,11,37
11048,75.34999847,36,74,11,37
11054,63,35,35,17,35
11058,62.56999969,25,82,13,27.33333333
11058,62.58000183,29,82,13,27.33333333
11058,53.77999878,26,82,13,27.33333333
11061,44.27000046,16,46,15,23
11061,57.08000183,30,46,15,23
11064,48.72999954,40,40,25,40
11065,67.5,20,20,42,20
11067,47.70999908,22,62,31,31
11067,51.54000092,29,62,31,31
11072,68.88999939,21,41,25,20.5
11072,61.30450058,20,41,25,20.5
11073,72.36000061,30,60,7,30
11073,65.48000336,30,60,7,30
11106,77.59999847,29,58,3,29
11106,78.47058868,29,58,3,29
11108,48.75,12,12,54,12
11109,64.12999725,24,119,5,39.66666667
11109,70.51999664,26,119,5,39.66666667
11109,67.08999634,32,119,5,39.66666667
11109,63.31000137,26,119,5,39.66666667
11111,63.86000061,33,106,5,35.33333333
