"y3","t1","x0","x1"
154,1,74,NA
161,1,82,NA
155,1,72,NA
170,1,96,NA
49,0,83,NA
48,0,72,72
175,1,85,NA
164,1,87,NA
37,0,86,NA
45,0,77,77
178,1,95,NA
164,1,84,NA
140,1,74,NA
33,0,58,58
60,0,91,91
57,0,80,NA
44,0,80,80
147,1,89,NA
54,0,88,88
62,0,86,NA
167,1,89,NA
176,1,88,NA
164,1,81,NA
39,0,60,60
164,1,86,NA
44,0,79,79
44,0,78,78
27,0,65,65
38,0,75,75
154,1,84,NA
182,1,94,NA
44,0,79,79
163,1,84,NA
155,1,79,NA
51,0,66,66
54,0,76,76
60,0,76,NA
34,0,79,79
51,0,91,91
176,1,88,NA
45,0,78,78
48,0,77,77
48,0,87,87
153,1,86,NA
147,1,73,NA
57,0,73,NA
166,1,84,NA
163,1,88,NA
53,0,79,79
58,0,89,NA
154,1,84,NA
33,0,74,74
46,0,83,83
39,0,69,NA
166,1,94,94
183,1,100,NA
31,0,76,NA
32,0,70,70
56,0,86,86
49,0,79,NA
72,0,104,NA
46,0,80,80
50,0,87,87
148,1,80,NA
37,0,73,NA
166,1,82,NA
29,0,62,62
60,0,95,NA
48,0,82,82
67,0,102,NA
169,1,85,85
140,1,73,73
175,1,86,NA
145,1,71,71
143,1,67,NA
61,0,83,NA
150,1,76,NA
54,0,80,80
51,0,81,NA
54,0,74,74
43,0,74,74
29,0,79,79
162,1,92,NA
32,0,65,65
167,1,86,86
43,0,83,83
163,1,91,NA
42,0,77,77
167,1,84,NA
159,1,83,NA
141,1,75,75
57,0,92,NA
47,0,92,92
50,0,87,87
179,1,96,NA
47,0,86,86
52,0,67,67
153,1,74,NA
41,0,68,68
37,0,75,NA
35,0,74,74
48,0,80,80
58,0,71,NA
157,1,82,NA
45,0,73,73
185,1,98,NA
66,0,87,NA
158,1,89,NA
44,0,84,84
49,0,97,97
40,0,74,74
57,0,75,NA
64,0,94,NA
156,1,73,NA
35,0,78,78
44,0,76,76
143,1,77,NA
158,1,77,NA
159,1,85,NA
159,1,78,78
40,0,75,75
168,1,93,NA
154,1,78,NA
51,0,78,78
155,1,79,NA
163,1,87,NA
44,0,79,79
53,0,80,80
33,0,73,73
154,1,77,NA
167,1,81,NA
161,1,74,NA
45,0,85,NA
136,1,65,NA
64,0,83,NA
38,0,65,65
36,0,77,NA
140,1,75,NA
37,0,73,73
36,0,79,79
148,1,61,NA
42,0,92,92
57,0,63,NA
47,0,75,75
46,0,69,69
35,0,72,72
70,0,101,NA
52,0,80,80
153,1,67,NA
38,0,64,64
155,1,85,NA
57,0,80,NA
45,0,77,77
50,0,71,NA
44,0,65,65
39,0,69,69
157,1,90,NA
38,0,74,74
36,0,66,66
173,1,99,NA
167,1,84,NA
156,1,78,NA
53,0,91,91
71,0,89,NA
45,0,74,74
183,1,102,102
53,0,77,77
38,0,66,66
57,0,79,NA
50,0,82,82
73,0,103,NA
157,1,81,NA
173,1,85,NA
61,0,79,79
37,0,77,77
51,0,80,80
46,0,88,88
170,1,101,NA
169,1,90,NA
52,0,92,NA
141,1,68,NA
60,0,90,NA
163,1,82,NA
34,0,65,NA
54,0,85,85
159,1,78,NA
45,0,95,95
45,0,72,72
37,0,76,76
38,0,71,71
56,0,78,78
57,0,84,NA
148,1,73,NA
46,0,88,88
129,1,68,NA
53,0,70,70
180,1,94,NA
45,0,70,70
51,0,84,84
53,0,76,76
57,0,84,NA
64,0,97,NA
53,0,96,NA
27,0,77,77
143,1,57,NA
182,1,105,NA
51,0,87,87
171,1,85,NA
34,0,80,80
47,0,85,85
41,0,78,78
162,1,84,NA
46,0,76,76
38,0,66,66
63,0,90,NA
46,0,95,NA
36,0,77,77
33,0,67,67
51,0,86,86
63,0,80,NA
47,0,63,63
45,0,80,80
146,1,74,NA
55,0,77,77
43,0,68,68
56,0,98,98
46,0,77,77
47,0,64,NA
48,0,82,82
51,0,83,83
137,1,70,NA
27,0,51,51
30,0,74,74
51,0,86,86
56,0,79,79
46,0,79,79
165,1,86,NA
37,0,68,68
48,0,91,91
174,1,80,NA
50,0,87,87
60,0,90,NA
56,0,82,82
40,0,71,71
181,1,92,NA
42,0,60,60
55,0,75,75
43,0,77,77
159,1,78,NA
52,0,90,90
162,1,81,NA
172,1,84,NA
43,0,79,79
45,0,78,NA
174,1,87,NA
165,1,91,NA
31,0,56,56
52,0,86,NA
162,1,84,NA
159,1,76,NA
167,1,90,NA
37,0,76,76
57,0,77,NA
161,1,89,NA
59,0,97,NA
155,1,83,NA
49,0,76,76
141,1,68,NA
42,0,77,77
141,1,71,71
143,1,77,NA
150,1,84,NA
35,0,71,71
49,0,106,106
163,1,82,NA
54,0,91,91
118,1,57,NA
160,1,87,NA
43,0,67,67
160,1,89,89
52,0,84,84
158,1,76,NA
57,0,93,NA
46,0,73,73
44,0,74,74
152,1,70,NA
164,1,73,73
60,0,89,NA
66,0,84,84
51,0,90,NA
46,0,76,76
36,0,84,84
44,0,82,82
49,0,66,66
187,1,98,NA
53,0,81,NA
57,0,88,NA
47,0,90,90
48,0,79,79
166,1,77,NA
164,1,89,NA
139,1,70,NA
183,1,100,100
38,0,76,76
167,1,97,NA
67,0,95,NA
161,1,81,NA
51,0,86,86
40,0,70,70
60,0,83,NA
62,0,90,NA
58,0,81,NA
49,0,75,75
46,0,73,73
51,0,80,80
56,0,91,91
37,0,75,75
62,0,79,79
32,0,67,67
58,0,85,NA
47,0,93,93
51,0,95,95
165,1,88,NA
28,0,61,NA
154,1,85,NA
165,1,85,NA
47,0,76,76
161,1,82,NA
48,0,71,71
159,1,87,NA
50,0,77,77
39,0,64,NA
153,1,76,NA
172,1,94,NA
44,0,77,77
170,1,87,NA
54,0,89,89
56,0,80,80
39,0,76,76
40,0,75,75
171,1,87,NA
48,0,69,69
47,0,82,82
154,1,77,NA
32,0,57,57
144,1,66,NA
162,1,89,NA
49,0,78,78
159,1,88,NA
183,1,99,NA
66,0,95,NA
64,0,87,NA
160,1,84,NA
143,1,78,NA
59,0,96,NA
160,1,86,NA
37,0,68,68
156,1,78,NA
32,0,61,61
49,0,78,78
121,1,54,NA
